id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
80,Make You Mine,PUBLIC,indie,happy,0.8,103,0.64,0.61,0.01
81,"Take Me Home, Country Roads",John Denver,country,relaxed,0.4,82,0.62,0.46,0.76
82,What If,Five For Fighting,folk,chill,0.9,150,0.59,0.56,0.19
83,Dile,Don Omar,latin,happy,0.74,94,0.75,0.82,0.17
84,War,Sum 41,punk,chill,0.9,176,0.54,0.39,0.0
85,You Are My Sunshine,Music Travel Love,country,chill,0.32,152,0.58,0.64,0.66
86,Fiel,Los Legendarios,latin,chill,0.7,98,0.51,0.85,0.41
87,Skankin' Sweet,Chronixx,reggae,happy,0.66,78,0.71,0.74,0.07
88,Cold Hours,aleemrk,hip-hop,energetic,0.61,170,0.49,0.74,0.32
89,Rising,Phlocalyst,jazz,moody,0.4,71,0.04,0.37,0.79
90,17 (feat. Joshua and DK of SEVENTEEN),Pink Sweat$,lofi,moody,0.38,129,0.31,0.61,0.11
91,Not Your Barbie Girl,Ava Max,electronic,energetic,0.64,120,0.35,0.74,0.1
92,"Kar Har Maidaan Fateh (From ""Sanju"")",Sukhwinder Singh,hip-hop,intense,0.82,170,0.18,0.56,0.02
93,Mi Amor,Vluestar,lofi,melancholic,0.2,97,0.34,0.76,0.66
94,Hideaway,Igulfrid,classical,melancholic,0.02,85,0.15,0.36,0.99
95,Festa de Maloka,Gabb MC,funk,chill,0.56,120,0.54,0.64,0.14
96,Through the Arbor,Kevin Kern,ambient,melancholic,0.08,200,0.23,0.3,0.98
97,Breathing,Ben Böhmer,electronic,moody,0.56,183,0.04,0.6,0.02
98,Producer Man,Lyn Lapid,folk,happy,0.64,174,0.75,0.66,0.13
99,City of Gods,Fivio Foreign,r&b,intense,0.8,147,0.5,0.47,0.1
100,Fake Plastic Trees,Radiohead,rock,melancholic,0.23,74,0.14,0.46,0.17
101,ZOOM,Jessi,pop,energetic,0.6,100,0.46,0.87,0.01
102,Bad Reputation,Joan Jett & the Blackhearts,punk,happy,0.97,204,0.82,0.38,0.0
103,The Moment,Kenny G,jazz,melancholic,0.31,181,0.19,0.27,0.64
104,We Belong Together,Ritchie Valens,r&b,relaxed,0.25,107,0.77,0.68,0.87
105,I Can't Stop,Flux Pavilion,reggae,intense,0.78,140,0.2,0.51,0.0
106,Tuesday (feat. Danelle Sandoval),Burak Yeter,electronic,happy,0.64,99,0.68,0.84,0.02
107,Gasoline,I Prevail,metal,chill,0.94,135,0.55,0.55,0.0
108,La vie en rose,Louis Armstrong,jazz,melancholic,0.08,71,0.32,0.58,0.88
109,It Is What It Is,Jamie Miller,soul,intense,0.74,162,0.32,0.69,0.09
110,Psycho Killer,Talking Heads,punk,chill,0.52,123,0.94,0.72,0.07
111,I'm A Wanted Man,Royal Deluxe,blues,moody,0.59,82,0.26,0.49,0.01
112,Cumbia Sobre el Mar,Quantic,lofi,happy,0.6,85,0.66,0.61,0.07
113,Heaven,Julia Michaels,electronic,moody,0.37,200,0.24,0.55,0.86
114,Breakups,Seaforth,country,moody,0.55,75,0.33,0.53,0.44
115,I,Aphex Twin,ambient,melancholic,0.09,77,0.03,0.18,0.99
116,Red Red Wine,UB40,reggae,chill,0.47,89,0.84,0.86,0.0
117,Peace and Quiet,Zen Atlas,ambient,melancholic,0.04,70,0.03,0.14,0.28
118,Everytime We Touch - Nightcore & KYANU Edit,Cascada,electronic,chill,0.96,178,0.55,0.52,0.01
119,None of Your Love - Bonus,Lil Tjay,r&b,chill,0.72,138,0.51,0.7,0.02
120,X,Nicky Jam,latin,happy,0.75,180,0.69,0.59,0.03
121,Take Five,The Dave Brubeck Quartet,jazz,chill,0.26,174,0.6,0.45,0.54
122,Flying :)),Tom Odell,lofi,melancholic,0.15,134,0.3,0.51,0.96
123,Put Your Head On My Shoulder (Remastered),Paul Anka,r&b,chill,0.55,110,0.53,0.59,0.71
124,La vie en rose,Andrea Bocelli,classical,chill,0.4,81,0.44,0.34,0.83
125,Ishq Tera,Guru Randhawa,hip-hop,chill,0.69,121,0.51,0.44,0.12
126,Desi Dan Bilzerian,King,hip-hop,chill,0.49,174,0.58,0.72,0.03
127,Vaseegara,Bombay Jayashri,classical,relaxed,0.29,144,0.64,0.69,0.6
128,Sin Novia,Nicky Jam,latin,chill,0.75,107,0.51,0.75,0.12
129,MUSCLE MEMORY,Kelsea Ballerini,country,happy,0.79,94,0.79,0.6,0.01
130,Time Moves Slow,BADBADNOTGOOD,jazz,moody,0.38,140,0.31,0.59,0.48
131,Unholy Confessions,Avenged Sevenfold,metal,chill,0.88,93,0.53,0.45,0.0
132,Little Wing,Stevie Ray Vaughan,blues,chill,0.38,115,0.52,0.47,0.36
133,Loretta,Aoife O'Donovan,folk,chill,0.42,97,0.57,0.54,0.97
134,Earth Song,Michael Jackson,soul,moody,0.44,138,0.14,0.5,0.48
135,Black Magic Woman,Santana,blues,chill,0.55,124,0.63,0.5,0.68
136,"Life of Pandu (From ""Thiru"")",Dinker kalvala,indie,chill,0.66,175,0.55,0.49,0.13
137,Firefly,When Chai Met Toast,folk,intense,0.83,80,0.39,0.53,0.16
138,I Get Along Without You Very Well (Except Sometimes) - Vocal Version,Chet Baker,jazz,melancholic,0.03,103,0.21,0.44,0.92
139,Chak De India,Salim–Sulaiman,folk,happy,0.89,105,0.8,0.76,0.54
140,Quiet Storm,Shierro,jazz,moody,0.53,154,0.11,0.61,0.67
141,Hell on Earth (Front Lines),Mobb Deep,metal,happy,0.66,92,0.66,0.88,0.28
142,Toast,Koffee,reggae,happy,0.64,100,0.79,0.91,0.03
143,Bedroom Eyes (feat. Studio Killers),The Knocks,funk,intense,0.79,109,0.41,0.65,0.0
144,Com Muito Louvor,Cassiane,soul,moody,0.68,139,0.32,0.36,0.53
145,Huzur (Reprise),Rusha & Blizza,hip-hop,moody,0.47,107,0.04,0.64,0.39
146,Take Me Home (with Kane Brown),Restless Road,country,moody,0.51,90,0.32,0.4,0.44
147,could you love me while i hate myself,Zeph,indie,chill,0.41,120,0.55,0.68,0.78
148,down,Mokita,lofi,moody,0.39,148,0.14,0.52,0.79
149,Paper Planes,M.I.A.,indie,intense,0.85,172,0.48,0.45,0.03
150,Fade Out Lines - The Avener Rework,The Avener,electronic,happy,0.73,119,0.7,0.88,0.02
151,My Own Grave,As I Lay Dying,metal,intense,0.99,125,0.04,0.48,0.0
152,In Control (feat. Selin),Mahmut Orhan,electronic,moody,0.64,200,0.27,0.58,0.32
153,Hills,AP Dhillon,hip-hop,melancholic,0.33,96,0.18,0.78,0.41
154,Tubular Bells - Pt. I,Mike Oldfield,ambient,melancholic,0.22,104,0.06,0.37,0.56
155,The River of Dreams,Billy Joel,classical,intense,0.75,90,0.44,0.63,0.2
156,In A Sentimental Mood,Duke Ellington,jazz,melancholic,0.3,108,0.28,0.46,0.94
157,Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,rock,intense,0.72,122,0.47,0.4,0.0
158,Poovukkul Olindhirukkum - Jeans,Roshan Sebastian,indie,melancholic,0.34,90,0.22,0.69,0.51
159,Punjabi Mashup,Arjun,hip-hop,happy,0.93,130,0.71,0.42,0.0
160,Joga O Bum Bum Tam Tam,MC Fioti,funk,chill,0.48,132,0.43,0.93,0.61
161,They Move on Tracks of Never-Ending Light,This Will Destroy You,ambient,melancholic,0.19,120,0.07,0.65,0.55
162,LOS APARATOS,El Alfa,latin,happy,0.88,113,0.9,0.87,0.05
163,Anywhere,Sigma,electronic,happy,0.87,120,0.61,0.72,0.02
164,Picky,Joey Montana,latin,happy,0.75,93,0.81,0.78,0.15
165,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,punk,happy,0.77,136,0.88,0.52,0.04
166,Telescope,Cage The Elephant,blues,moody,0.48,94,0.18,0.59,0.27
167,HP,Maluma,latin,happy,0.79,92,0.62,0.84,0.25
168,Ameno,ERA,ambient,moody,0.53,103,0.14,0.6,0.09
169,Can't Help Falling In Love - Live At Lake Las Vegas/2005,Andrea Bocelli,classical,moody,0.4,97,0.17,0.46,0.81
170,Poison Tree,Grouper,ambient,melancholic,0.14,111,0.21,0.22,0.96
171,Break It Off (feat. Rihanna),Sean Paul,reggae,happy,0.72,134,0.78,0.9,0.02
172,ALL GIRLS ARE THE SAME,RØNIN,lofi,chill,0.34,118,0.47,0.79,0.59
173,First Love / Late Spring,Mitski,indie,moody,0.54,100,0.1,0.45,0.0
174,Llegan Ya,Millonario,latin,moody,0.63,113,0.32,0.87,0.07
175,Crush,Cigarettes After Sex,ambient,moody,0.5,98,0.28,0.4,0.09
176,Come Together,Gary Clark Jr.,blues,chill,0.79,80,0.51,0.45,0.0
177,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,jazz,relaxed,0.24,134,0.7,0.45,0.91
178,Jungle,Tash Sultana,reggae,energetic,0.7,146,0.5,0.59,0.28
179,Shake It,Metro Station,punk,happy,0.95,150,0.79,0.62,0.0
180,Ain't Nobody,Chaka Khan,funk,happy,0.88,104,0.82,0.8,0.19
181,Live Like We're Dying,Kris Allen,folk,happy,0.89,92,0.94,0.59,0.03
182,La Suzi,Ozuna,latin,chill,0.54,98,0.46,0.54,0.28
183,Trigger Hippie,Morcheeba,lofi,moody,0.62,172,0.15,0.63,0.08
184,Hey DJ,CNCO,latin,intense,0.81,90,0.47,0.8,0.03
185,Guiding Light,Alexis Ffrench,ambient,melancholic,0.04,65,0.23,0.35,0.99
186,Ay Vamos,J Balvin,latin,happy,0.71,174,0.92,0.72,0.16
187,vulnerable,dhruv,lofi,moody,0.54,116,0.3,0.7,0.44
188,I Won,Ty Dolla $ign,soul,happy,0.79,141,0.67,0.76,0.27
189,Estelle,Doris Casella,classical,melancholic,0.06,207,0.15,0.22,0.99
190,Quantum Flux,Northlane,metal,intense,0.91,110,0.26,0.53,0.0
191,Alexander Hamilton,Leslie Odom Jr.,jazz,chill,0.43,132,0.55,0.61,0.52
192,Outro Na Fornalha (Another In The Fire) - Ao Vivo,Mari Borges,soul,intense,0.76,130,0.19,0.56,0.32
193,Endlessly,The Cab,punk,chill,0.86,130,0.52,0.51,0.05
194,Evening Silence,Three Four Trio,jazz,melancholic,0.14,89,0.11,0.43,0.96
195,Pink And Golden Billows,Brambles,ambient,melancholic,0.06,210,0.28,0.39,0.99
196,Bombs Away (Throwback Cypher) [Sped up Version],dj Shawny,electronic,happy,0.93,111,0.73,0.74,0.0
197,Kelly Watch the Stars,Air,ambient,intense,0.74,110,0.23,0.52,0.28
198,Typa Girl,BLACKPINK,pop,chill,0.58,132,0.52,0.92,0.06
199,God Damnit (with Call Me Karizma),ILLENIUM,reggae,energetic,0.62,96,0.37,0.68,0.29
200,Stay Hollow (with mossy.),Ekali,reggae,moody,0.68,135,0.07,0.7,0.13
201,Blood Hunter,Varien,reggae,intense,0.73,90,0.09,0.61,0.0
202,I'm Every Woman,Chaka Khan,funk,happy,0.89,114,0.73,0.6,0.04
203,Leave Before You Love Me,Marshmello,electronic,happy,0.74,120,0.65,0.72,0.0
204,Coffee Cups and Cigarettes,Tomo,folk,melancholic,0.06,132,0.15,0.46,0.99
205,From This Moment On - Pop On-Tour Version,Shania Twain,country,moody,0.51,136,0.22,0.46,0.42
206,My Darling,Junerule,electronic,moody,0.5,124,0.2,0.6,0.28
207,Jaadugar,Paradox,hip-hop,moody,0.57,95,0.19,0.67,0.77
208,Vennila Chandana Kinnam - Recreated Version,Sanah Moidutty,indie,melancholic,0.27,120,0.31,0.77,0.88
209,"I Will Survive - Original 7"" Version",Gloria Gaynor,funk,chill,0.54,116,0.65,0.78,0.04
210,Para Ti Eu Vou - Ao Vivo,Central 3,soul,moody,0.6,134,0.24,0.4,0.46
211,Power of Love,Laura Branigan,pop,moody,0.58,137,0.21,0.41,0.44
212,alright,keshi,lofi,chill,0.47,150,0.39,0.63,0.53
213,Tieduprightnow,Parcels,soul,chill,0.53,102,0.74,0.86,0.29
214,Free Tibet - Vini Vici Remix,Hilight Tribe,electronic,intense,0.95,103,0.07,0.38,0.01
215,Rosyln,Bon Iver,folk,melancholic,0.28,160,0.12,0.33,0.97
216,El Amante,Nicky Jam,latin,happy,0.69,180,0.73,0.68,0.24
217,American Idiot,Green Day,punk,happy,0.99,186,0.77,0.38,0.0
218,The One - NGHTMRE Remix,Habstrakt,reggae,intense,0.94,150,0.37,0.5,0.0
219,Santeria,Sublime,punk,chill,0.77,91,0.57,0.68,0.03
220,Pepas,Farruko,latin,intense,0.77,130,0.44,0.76,0.01
221,Have a Cigar,Pink Floyd,rock,happy,0.65,120,0.72,0.45,0.41
222,Memory,Kane Brown,country,happy,0.89,113,0.84,0.43,0.4
223,Hail Mary,Makaveli,metal,energetic,0.64,82,0.36,0.7,0.16
224,Deceptacon,Le Tigre,punk,happy,0.86,160,0.62,0.6,0.06
225,The Real Slim Shady,Eminem,hip-hop,happy,0.66,105,0.76,0.95,0.03
226,Maahi Ve,A.R. Rahman,pop,chill,0.72,131,0.53,0.6,0.57
227,Must Have Been The Wind,Alec Benjamin,electronic,energetic,0.64,89,0.36,0.65,0.78
228,Life,Florida Georgia Line,country,energetic,0.66,143,0.38,0.48,0.07
229,La traviata / Act 1: Libiamo ne'lieti calici,Giuseppe Verdi,classical,melancholic,0.25,110,0.21,0.4,0.97
230,Aye Zindagi Gale Lagaa Le,Ilaiyaraaja,pop,chill,0.39,159,0.43,0.37,0.57
231,All Mine,PLAZA,soul,chill,0.34,79,0.37,0.72,0.09
232,American Beauty,Drew Holcomb & The Neighbors,folk,melancholic,0.17,168,0.18,0.65,0.84
233,Bewafa,Imran Khan,hip-hop,moody,0.56,94,0.07,0.7,0.59
234,Self Control - Extended Version,Laura Branigan,funk,happy,0.71,106,0.8,0.77,0.23
235,See The End,Above & Beyond,electronic,moody,0.66,128,0.09,0.5,0.01
236,Sign - Radio Edit,Boozoo Bajou,lofi,chill,0.53,79,0.66,0.67,0.06
237,Kaleidoscope,A Great Big World,folk,chill,0.91,108,0.52,0.71,0.02
238,Blueberry Hill,Fats Domino,blues,chill,0.5,133,0.83,0.49,0.74
239,Vibration,Fireboy DML,reggae,happy,0.83,104,0.88,0.79,0.47
240,Everything But You (feat. A7S),Clean Bandit,funk,intense,0.76,125,0.47,0.68,0.03
241,Where Have You Been,ARTY,electronic,happy,0.93,126,0.87,0.56,0.02
242,All I Need,Within Temptation,metal,intense,0.73,153,0.12,0.23,0.2
243,"Kudi Nu Nachne De (From ""Angrezi Medium"")",Vishal Dadlani,hip-hop,happy,0.69,118,0.88,0.83,0.17
244,Waiting to Die,iamjakehill,lofi,chill,0.73,160,0.58,0.58,0.09
245,Fresh,Kool & The Gang,funk,relaxed,0.38,118,0.95,0.84,0.01
246,heaven come,Josh Golden,lofi,chill,0.54,120,0.5,0.8,0.18
247,Voyage voyage,Desireless,funk,happy,0.91,124,0.84,0.61,0.25
248,Como Este Loco,Julio Preciado Y Su Banda Perla Del Pacifico,r&b,happy,0.63,174,0.87,0.49,0.5
249,Revolve,Sleepless Eye,ambient,melancholic,0.04,143,0.04,0.13,0.86
250,Moon Rise,Guru Randhawa,hip-hop,chill,0.71,92,0.6,0.76,0.36
251,Kar Gayi Chull,Badshah,hip-hop,happy,0.74,122,0.87,0.83,0.03
252,You Get Me So High,The Neighbourhood,rock,intense,0.88,88,0.39,0.55,0.19
253,Arthur's Theme (Best That You Can Do),Christopher Cross,funk,chill,0.52,137,0.52,0.53,0.17
254,the perfect pair,beabadoobee,indie,happy,0.66,146,0.6,0.63,0.43
255,If You Want Peace... Prepare For War,Children Of Bodom,metal,intense,0.98,170,0.44,0.39,0.0
256,Yo Perreo Sola,Bad Bunny,latin,intense,0.76,97,0.45,0.86,0.02
257,Give It All To Me,Mavado,reggae,intense,0.71,97,0.41,0.48,0.02
258,I Like It,Enrique Iglesias,latin,happy,0.94,129,0.73,0.65,0.02
259,I Was A Teenage Werewolf - Remastered,The Cramps,blues,energetic,0.6,115,0.49,0.41,0.0
260,I Want You To Love Me,Fiona Apple,classical,chill,0.5,141,0.71,0.53,0.56
261,Angel Of The Morning,Juice Newton,country,melancholic,0.31,76,0.34,0.45,0.43
262,You're My Best Friend,Don Williams,country,melancholic,0.21,130,0.33,0.55,0.92
263,Tesselation,Mild High Club,rock,chill,0.41,74,0.55,0.67,0.14
264,I Believe In You,Don Williams,country,chill,0.21,118,0.51,0.51,0.88
265,Nothing Else Matters,Metallica,rock,moody,0.36,142,0.16,0.55,0.05
266,Pomalu,Marie Protivová,ambient,melancholic,0.03,69,0.06,0.07,0.97
267,Tired,Alan Walker,electronic,intense,0.88,124,0.49,0.69,0.04
268,Cinnamon,Jome,folk,moody,0.47,140,0.23,0.46,0.59
269,Goin Up,Lil Tjay,r&b,moody,0.67,137,0.16,0.73,0.06
270,All This,Jay Pryor,electronic,chill,0.95,126,0.5,0.6,0.11
271,My Foolish Heart,Bill Evans Trio,jazz,melancholic,0.12,115,0.14,0.4,0.94
272,Te Felicito,Shakira,latin,chill,0.64,174,0.57,0.69,0.23
273,"Love Is All Around - From ""Four Weddings And A Funeral""",Wet Wet Wet,r&b,chill,0.69,84,0.55,0.52,0.23
274,Dance For Me Wallis,Abel Korzeniowski,ambient,moody,0.36,86,0.16,0.4,0.89
275,Not Another Rockstar,Maisie Peters,indie,happy,0.81,91,0.82,0.66,0.21
276,Blue Train,John Coltrane,jazz,chill,0.29,136,0.57,0.5,0.64
277,Put Your Head On My Shoulder,Paul Anka,r&b,chill,0.34,116,0.47,0.55,0.75
278,White Flag,Bishop Briggs,rock,intense,0.81,152,0.35,0.52,0.06
279,4:22,Ozuna,latin,happy,0.73,104,0.65,0.77,0.02
280,Ginza,J Balvin,reggae,happy,0.81,102,0.82,0.73,0.21
281,Favorite T-Shirt - Acoustic,Jake Scott,indie,relaxed,0.26,115,0.64,0.82,0.76
282,Popular Monster,Falling In Reverse,metal,intense,0.9,165,0.36,0.46,0.01
283,Hard Sometimes,Ruel,rock,melancholic,0.32,82,0.22,0.41,0.84
284,My Name (feat. Eminem & Nate Dogg),Xzibit,metal,chill,0.74,86,0.6,0.84,0.16
285,She,Elvis Costello,pop,melancholic,0.28,131,0.28,0.33,0.43
286,Everybody Wants To Rule The World - Sped Up Version,Tears For Fears,pop,chill,0.89,130,0.58,0.36,0.19
287,Oh Penne,Anirudh Ravichander,hip-hop,happy,0.65,95,0.64,0.48,0.57
288,The Girl,Hellberg,reggae,intense,0.72,126,0.43,0.49,0.07
289,KR L$DA SIGN,Emiway Bantai,hip-hop,happy,0.72,140,0.61,0.71,0.13
290,They Can't Take That Away From Me,Ella Fitzgerald,blues,chill,0.14,105,0.37,0.56,0.87
291,Midnight Train to Georgia,Gladys Knight & The Pips,funk,chill,0.38,92,0.45,0.59,0.27
292,Watch Me,The Phantoms,blues,chill,0.61,80,0.5,0.56,0.06
293,Demons,Boyce Avenue,folk,chill,0.35,90,0.57,0.68,0.75
294,My Friends (feat. Lil Durk),Ty Dolla $ign,soul,chill,0.48,170,0.44,0.63,0.06
295,"Sajna, Say Yes To The Dress",Badshah,hip-hop,happy,0.78,108,0.89,0.63,0.3
296,New Blood,Zayde Wølf,blues,intense,0.89,73,0.36,0.49,0.08
297,Natty Rebel - Remaster 1990,U-Roy,reggae,relaxed,0.4,83,0.78,0.81,0.06
298,For Whom The Bell Tolls - Remastered,Metallica,rock,intense,0.86,118,0.25,0.52,0.01
299,Vai Passar,Gerson Rufino,soul,moody,0.56,136,0.22,0.53,0.04
300,Maze of Tranquility,Martin Landström,jazz,melancholic,0.13,113,0.05,0.49,0.76
301,Twilight,Darci,soul,chill,0.52,135,0.4,0.7,0.24
302,La Grange - 2005 Remaster,ZZ Top,blues,happy,0.64,81,0.61,0.55,0.0
303,When You Know (Where You Come From),Scorpions,rock,moody,0.62,148,0.29,0.45,0.26
304,Caile,Luar La L,latin,intense,0.76,122,0.46,0.7,0.3
305,Beat the Odds,Lil Tjay,r&b,energetic,0.62,85,0.48,0.5,0.05
306,Alpha Meditation,Brainbox,ambient,melancholic,0.01,143,0.1,0.15,0.81
307,Remedy,Adele,soul,melancholic,0.3,162,0.24,0.41,0.89
308,Plastic Love,Mariya Takeuchi,pop,happy,0.88,103,0.86,0.65,0.07
309,Safari Song,Greta Van Fleet,blues,happy,0.93,176,0.68,0.36,0.16
310,Two Weeks,Grizzly Bear,lofi,happy,0.71,160,0.7,0.54,0.29
311,Oh Ho Ho Ho (Remix),Sukhbir,hip-hop,happy,0.94,145,0.8,0.68,0.01
312,Tell Me Why (feat. Shiloh Dynasty),Danny G,lofi,moody,0.62,126,0.3,0.77,0.45
313,Caffeine,Kiro Akiyama,pop,chill,0.46,134,0.76,0.73,0.0
314,grace,Fujii Kaze,pop,happy,0.69,109,0.64,0.67,0.08
315,Beautiful Scars - Acoustic / Bonus Track,Maximillian,folk,relaxed,0.31,133,0.73,0.8,0.85
316,Kholai Khola,Neetesh Jung Kunwar,indie,chill,0.39,51,0.53,0.52,0.56
317,Bigmouth Strikes Again - 2011 Remaster,The Smiths,punk,happy,0.9,135,0.84,0.4,0.07
